"Title:","ACT Composite 25th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Prairie View A & M University - Texas",16,16,16,16,15,16,16,15,15,15,15,15,17,16
"Bushnell University - Oregon",16,18,18,17,17,19,17,18,19,20,20,20,18,21
"Western Oregon University - Oregon",16,17,,,17,17,17,,,16,17,17,17,17
"San Francisco State University - California",16,17,17,18,18,18,18,19,19,19,19,18,18,17
"Pfeiffer University - North Carolina",16,16,17,16,17,17,17,18,18,19,17,17,18,17
"Rockford University - Illinois",16,18,19,19,19,19,19,19,18,18,20,19,18,19
"Wayland Baptist University - Texas",16,16,16,17,16,16,17,17,17,16,18,17,17,18
"Bowie State University - Maryland",16,16,,16,15,15,15,17,16,17,,,,
"University of Maryland Eastern Shore - Maryland",16,16,15,16,17,15,15,16,16,16,15,14,15,14
"Spalding University - Kentucky",16,17,18,18,18,18,18,18,18,16,19,16,15,17
"Converse University - South Carolina",16,16,20,20,20,20,20,21,20,19,20,20,20,21
"University of North Texas at Dallas - Texas",16,16,16,16,17,16,16,,,,,,,
"Texas Woman's University - Texas",16,16,17,17,17,17,17,17,17,16,19,18,18,18
"Mansfield University of Pennsylvania - Pennsylvania",16,16,17,17,18,17,17,19,,,18,17,17,
"Fayetteville State University - North Carolina",16,17,18,17,17,17,17,17,15,15,15,15,15,
"Criswell College - Texas",16,18,17,,,,,,,,,,,
"Neumann University - Pennsylvania",16,16,16,15,17,17,15,16,17,16,,,,
"Mount Mary University - Wisconsin",16,16,16,17,18,17,17,17,17,17,16,17,18,17
"Morgan State University - Maryland",16,16,16,16,16,16,16,16,16,16,16,17,16,17
"Hiram College - Ohio",16,18,18,18,19,20,18,19,20,19,19,20,20,20
"St. Thomas University - Florida",16,16,16,18,17,17,17,16,17,16,16,16,16,16
"University of Mount Olive - North Carolina",16,16,17,17,17,17,16,17,15,17,16,,,
"Greensboro College - North Carolina",16,16,16,17,17,16,16,15,17,17,16,16,17,16
"East Stroudsburg University of Pennsylvania - Pennsylvania",16,17,19,20,19,18,18,18,,,,,,
"Fresno Pacific University - California",16,16,17,18,18,19,19,18,19,18,18,18,17,17
"Gordon State College - Georgia",16,15,15,15,15,15,16,15,16,15,,,,
"Eastern Nazarene College - Massachusetts",16,17,17,18,20,18,15,17,18,20,16,20,17,18
"University of Hawaii at Hilo - Hawaii",16,17,17,17,18,16,17,19,18,18,17,18,19,17
"Eastern Washington University - Washington",16,17,17,17,17,18,17,18,18,18,17,18,18,18
"Southwestern Assemblies of God University - Texas",16,17,17,17,19,18,,,,,,,,
"Colorado State University-Global Campus - Colorado",16,18,,,,,,,,,,,,
"University of Providence - Montana",16,16,,,,,,,,,,,,
"Mid-Atlantic Christian University - North Carolina",16,15,16,18,17,16,18,14,14,16,18,21,19,14
"Southern University and A & M College - Louisiana",16,17,17,17,20,17,17,17,17,17,17,15,16,16
"Midwestern State University - Texas",16,17,17,18,18,19,19,19,19,20,18,19,19,18
"Lander University - South Carolina",16,17,17,17,17,17,17,18,17,18,18,18,17,17
"Eureka College - Illinois",16,17,17,19,19,19,19,19,19,19,19,19,20,19
"Erskine College - South Carolina",16,17,18,19,20,18,18,19,20,18,23,20,21,22
"Kentucky Christian University - Kentucky",16,17,17,18,18,19,18,18,18,18,17,17,17,17
"The University of Montana-Western - Montana",16,17,17,16,,,,,,,,,,
"University of South Carolina-Sumter - South Carolina",16,15,15,16,17,17,17,17,17,16,17,17,17,16
"SUNY College of Agriculture and Technology at Cobleskill - New York",16,17,,17,20,16,16,16,20,18,20,19,20,
"University of South Carolina-Lancaster - South Carolina",16,15,15,16,15,15,15,14,15,14,14,15,15,15
"Claflin University - South Carolina",16,15,17,14,18,15,15,15,15,16,,,,
"Fort Lewis College - Colorado",16,17,18,20,19,19,19,20,19,20,20,19,18,18
"Kean University - New Jersey",16,17,17,16,17,17,15,,,,,,,
"Life Pacific University - California",16,15,16,16,16,16,16,17,18,16,19,17,16,18
"Coker University - South Carolina",16,18,17,17,18,18,18,18,17,18,18,17,18,
"College of Coastal Georgia - Georgia",16,17,17,16,16,17,18,17,17,,,,,
"University of Redlands - California",16,23,23,23,22,22,22,23,22,22,22,22,22,21
"Trinity College of Florida - Florida",16,16,15,16,15,16,,,,,19,16,14,20
"University of Hawaii-West Oahu - Hawaii",16,16,16,16,,,,16,16,15,15,17,,
"Bacone College - Oklahoma",15,13,14,15,15,15,16,15,16,16,16,16,14,15
"Averett University - Virginia",15,16,16,17,16,17,16,17,16,17,17,15,16,17
"Francis Marion University - South Carolina",15,16,17,17,17,17,17,17,17,17,18,18,18,18
"Ferrum College - Virginia",15,16,17,15,15,15,16,14,16,16,16,16,16,14
"Saint Elizabeth School of Nursing - Indiana",15,,15,,,18,19,,,,22,17,19,19
"Graceland University-Lamoni - Iowa",15,18,18,18,18,18,18,18,18,18,18,21,18,18
"Grambling State University - Louisiana",15,16,16,,16,16,16,16,14,16,16,17,15,
"Texas A & M International University - Texas",15,16,16,16,16,16,17,16,16,16,15,16,15,14
"Albany State University - Georgia",15,14,15,,17,17,17,17,16,16,17,17,17,16
"Alabama A & M University - Alabama",15,15,16,16,16,16,15,15,16,16,16,16,16,16
"Yellowstone Christian College - Montana",15,,,,,,,,,,,,,
"York College - Nebraska",15,17,18,18,17,18,18,17,17,18,18,18,18,17
"Kentucky State University - Kentucky",15,18,15,17,17,17,16,16,15,16,15,15,15,14
"Tougaloo College - Mississippi",15,15,16,16,16,15,15,15,15,15,24,25,21,20
"Centenary University - New Jersey",15,15,17,19,15,17,16,18,17,16,16,15,20,16
"La Sierra University - California",15,16,17,16,16,16,16,17,16,16,17,18,17,17
"Prescott College - Arizona",15,,,19,21,19,20,22,22,21,19,20,21,21
"Northeastern Illinois University - Illinois",15,15,15,15,16,16,16,16,16,17,16,16,16,16
"Lincoln University - Pennsylvania",15,16,16,16,15,15,16,15,,16,15,15,,15
"Nyack College - New York",15,16,17,17,18,16,19,17,17,17,17,17,18,18
"Norfolk State University - Virginia",15,15,16,17,16,15,16,16,17,17,17,16,17,17
"North Carolina Central University - North Carolina",15,17,17,17,17,17,17,16,15,15,15,14,14,15
"VanderCook College of Music - Illinois",15,13,21,21,20,22,20,24,20,19,19,19,20,18
"Missouri Valley College - Missouri",15,16,16,,,,,18,17,17,17,17,17,18
"Our Lady of the Lake University - Texas",15,17,17,17,18,17,18,14,16,16,16,17,17,17
"California State University-Los Angeles - California",15,15,15,15,15,15,15,15,15,15,15,15,15,15
"California State University-San Bernardino - California",15,15,16,16,16,16,16,16,16,16,16,15,16,16
"North Carolina Wesleyan College - North Carolina",15,15,15,16,16,16,15,15,15,15,16,15,16,16
"Virginia State University - Virginia",15,15,15,15,15,15,15,15,16,16,,,,15
"Shippensburg University of Pennsylvania - Pennsylvania",15,16,17,18,18,18,17,18,17,17,,,,
"University of South Carolina-Union - South Carolina",15,14,14,15,15,15,14,14,13,13,14,15,13,15
"Newberry College - South Carolina",15,16,17,17,17,18,17,17,16,18,17,17,18,18
"Bloomfield College - New Jersey",15,14,16,15,16,15,13,,,,,,,
"Chicago State University - Illinois",15,16,16,16,16,16,16,17,17,16,16,18,18,18
"Elizabeth City State University - North Carolina",15,16,17,16,17,17,17,16,16,15,15,14,14,15
"Southern University at New Orleans - Louisiana",15,15,15,15,16,15,15,15,17,17,,,,
"Bethune-Cookman University - Florida",15,15,,,,,15,15,13,16,16,18,15,14
"Sul Ross State University - Texas",15,15,,16,16,15,16,15,15,,,,,
"Savannah State University - Georgia",15,16,21,16,16,16,16,16,16,,,,16,16
"Paine College - Georgia",15,14,14,14,14,14,14,14,14,14,14,14,9,14
"Cazenovia College - New York",15,,,,20,,,,19,,,,,
"University of South Carolina-Salkehatchie - South Carolina",14,14,14,14,14,14,14,14,14,14,14,14,14,14
"University of Science and Arts of Oklahoma - Oklahoma",14,19,19,19,19,19,20,18,20,20,19,19,20,18
"Alabama State University - Alabama",14,15,16,16,15,16,16,15,15,14,15,14,14,14
"Thomas University - Georgia",14,,,,,,,,,,,,,
"University of the Virgin Islands - Virgin Islands",14,14,,15,15,16,15,14,13,13,14,13,14,14
"Chowan University - North Carolina",14,14,14,14,14,14,14,14,14,14,15,15,15,14
"South Carolina State University - South Carolina",14,15,15,15,14,14,15,17,15,15,15,15,15,15
"Wesley College - Delaware",14,14,15,15,15,14,15,16,16,,,,,
"University of Arkansas at Pine Bluff - Arkansas",14,16,16,16,16,16,16,15,14,15,14,14,14,14
"Webber International University - Florida",14,16,17,17,17,16,17,17,17,17,18,17,16,16
"Paul Quinn College - Texas",14,15,13,14,12,14,19,13,14,18,11,8,8,8
"Edward Waters University - Florida",14,15,15,15,15,14,15,15,15,14,14,,,
"Gallaudet University - Washington DC",14,14,15,15,14,16,15,15,15,15,15,15,14,14
"Saint Louis Christian College - Missouri",14,14,20,16,14,18,18,18,17,17,17,,15,19
"Metropolitan State University of Denver - Colorado",14,17,17,17,17,18,18,18,18,18,18,18,18,17
"Wilberforce University - Ohio",14,15,14,14,15,14,13,,,,,,,
"Huston-Tillotson University - Texas",14,14,14,16,13,14,14,13,14,14,14,14,14,14
"Virginia Union University - Virginia",13,14,15,15,,14,14,13,14,13,,,,
"Fisher College - Massachusetts",13,,,,,,,,15,17,,,,
"Johnson C Smith University - North Carolina",13,14,14,14,15,15,15,15,15,15,16,19,19,19
"Mississippi Valley State University - Mississippi",13,16,15,16,15,16,15,15,15,15,15,16,15,15
"Livingstone College - North Carolina",13,14,13,13,13,12,13,13,14,13,13,13,13,12
"Visible Music College - Tennessee",12,15,14,13,18,16,17,17,18,16,18,17,16,
"Saint Augustine's University - North Carolina",12,13,13,13,12,13,14,13,14,,15,12,13,13
"Boston Baptist College - Massachusetts",10,16,15,16,13,18,,,,,20,,13,15
"Wake Forest University - North Carolina",,,,,,,,,,,,27,27,
"Wagner College - New York",,,,,,,,22,22,22,23,23,24,24
"Voorhees College - South Carolina",,,,,,,,,,,,,,14
"Virginia Beach Theological Seminary - Virginia",,,,,,,,,,,,,,
"Villa Maria College - New York",,,,,,,,,,,,,,
"Vet Tech Institute of Houston - Texas",,,,,,,,,,,,,,
"Veritas Baptist College - Indiana",,,,,,,,,,,,,,
"Venango County Area Vocational Technical School - Pennsylvania",,,,,,,,,,,,,,
"Veeb Nassau County School of Practical Nursing - New York",,,,,,,,,,,,,,
"Utica University - New York",,,,,,,,18,18,16,18,,18,19
"Walnut Hill College - Pennsylvania",,,,,,,,,,,,,,
"UPMC Mercy School of Nursing - Pennsylvania",,,,,,,24,,,,,18,19,18
"Upper Cape Cod Regional Technical School - Massachusetts",,,,,,,,,,,,,,
"UPMC St. Margaret School of Nursing - Pennsylvania",,,,,,,19,,,,,,,
"UPMC Shadyside School of Nursing - Pennsylvania",,,,,,,,,,,,,,
"Vermont Technical College - Vermont",,,,,,,,16,19,18,18,17,16,
"Warner Pacific University - Oregon",,,,,,,,,17,16,13,,,17
"Wesleyan University - Connecticut",,,,,,,,29,29,30,30,27,28,28
"Warrensburg Area Career Center - Missouri",,,,,,,,,,,,,,
"Willamette University - Oregon",,,,,,25,24,24,25,27,25,25,25,24
"Wilson Workforce and Rehabilitation Center - Virginia",,,,,,,,,,,,,,
"UPMC Jameson School of Nursing - Pennsylvania",,,,,,,,,,,,,,
"Worcester Polytechnic Institute - Massachusetts",,,,,,,,,,,,,25,25
"Whitworth University-Adult Degree Programs - Washington",,,,,,,,,,,,,,
"Wheelock College - Massachusetts",,,,12,15,18,15,19,18,17,18,18,18,16
"Western Pennsylvania Hospital School of Nursing - Pennsylvania",,,,,,,,,,,,,,
"Western Connecticut State University - Connecticut",,,,,,,18,,,,,,,
"Western Area Career & Technology Center - Pennsylvania",,,,,,,,,,,,,,
"Westcliff University - California",,,,,,,,,,,,,,
"West Coast University-Orange County - California",,,,,,,,,,,,,,
"West Coast University-Ontario - California",,,,,,,,,,,,,,
"West Coast University-Miami - Florida",,,,,,,,,,,,,,
"West Coast University-Los Angeles - California",,,,,,,,,,,,,,
"West Coast University-Dallas - Texas",,,,,,,,,,,,,,
"Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program - New York",,,,,,,,,,,,,,
"Washington College - Maryland",,,,,,,,24,23,21,22,21,21,19
"Washington & Jefferson College - Pennsylvania",,,,,,,,,,,22,22,23,22
"Washburn Institute of Technology - Kansas",,,,,,,,,,,,,,
"Yeshiva Bais Aharon - New Jersey",,,,,,,,,,,,,,
"University of Wisconsin-Parkside Flex - Wisconsin",,,,,,,,,,,,,,
"University of Maine at Presque Isle - Maine",,,,,,,,,,,,,,
"University of Wisconsin Colleges Flex - Wisconsin",,,,,,,,,,,,,,
"University of Alaska Anchorage - Alaska",,,,,,,,,,,17,17,17,18
"University of Advancing Technology - Arizona",,,,,,,,,19,16,,,,
"Universidad del Sagrado Corazon - Puerto Rico",,,,,,,,,,,,,,
"Universidad Central Del Caribe - Puerto Rico",,,,,,,,,,,,,,
"Universidad Central de Bayamon - Puerto Rico",,,,,,,,,,,,,,
"Universidad Adventista de las Antillas - Puerto Rico",,,,,,,,,,,,,,
"Universal Healthcare Careers College - California",,,,,,,,,,,,,,
"Unity College - Maine",,,,,,,,,,,,,,
"Ulster BOCES-School of Practical Nursing - New York",,,,,,,,,,,,,,
"Ukiah Adult School - California",,,,,,,,,,,,,,
"Trinity Washington University - Washington DC",,,,,,,,,,,,,,
"Trinity School of Health and Allied Sciences - California",,,,,,,,,,,,,,
"Trinity Health System School of Nursing - Ohio",,,,,17,21,,19,,19,,,19,20
"Yeshiva D'monsey Rabbinical College - New York",,,,,,,,,,,,,,
"Touro College - New York",,,,,,,,,,,,,,
"Trident University International - California",,,,,,,,,,,,,,
"Trinity College of Nursing & Health Sciences - Illinois",,,,,,,,,,,,,,
"University of Alaska Southeast - Alaska",,,,,,,,,,,,17,21,20
"University of Arkansas Community College-Morrilton - Arkansas",,,,,18,17,17,17,,,,,,
"University of Holy Cross - Louisiana",,,,18,18,,,,,,,,,
"University of Maine at Farmington - Maine",,,,,,,,,,,,,,
"University of Wisconsin Colleges - Wisconsin",,,,17,18,18,18,18,18,18,18,18,18,18
"University of Valley Forge - Pennsylvania",,,,,,18,17,19,19,15,17,,,
"University of the Southwest - New Mexico",,,,,15,,,,,,16,15,15,14
"University of Silicon Valley - California",,,,,,,,,,19,,,,
"University of Puget Sound - Washington",,,,,,,25,25,26,26,25,25,25,25
"University of Puerto Rico-Utuado - Puerto Rico",,,,,,,,,,,,,,
"University of Puerto Rico-Rio Piedras - Puerto Rico",,,,,,,,,,,,,,
"University of Puerto Rico-Mayaguez - Puerto Rico",,,,,,,,,,,,,,
"University of Wisconsin-Milwaukee Flex - Wisconsin",,,,,,,,,,,,,,
"University of Puerto Rico-Humacao - Puerto Rico",,,,,,,,,,,,,,
"University of Puerto Rico-Carolina - Puerto Rico",,,,,,,,,,,,,,
"University of Puerto Rico-Bayamon - Puerto Rico",,,,,,,,,,,,,,
"University of Puerto Rico-Arecibo - Puerto Rico",,,,,,,,,,,,,,
"University of Puerto Rico-Aguadilla - Puerto Rico",,,,,,,,,,,,,,
"University of Puerto Rico at Ponce - Puerto Rico",,,,,,,,,,,,,,
"University of Pikeville - Kentucky",,,,18,17,18,18,16,,,,,,
"University of Massachusetts-Boston - Massachusetts",,,,21,21,,,,,,,,,
"University of Massachusetts Global - California",,,,,,,,,,,,,,
"University of Puerto Rico-Cayey - Puerto Rico",,,,,,,,,,,,,,
"Yeshiva Derech Chaim - New York",,,,,,,,,,,,,,
"Prism Career Institute-West Atlantic City - New Jersey",,,,,,,,,,,,,,
"Yeshiva Gedolah of Greater Detroit - Michigan",,,,,,,,,,,,,,
"Southeastern Bible College - Alabama",,,,,18,18,18,16,16,19,15,16,17,17
"Shimer College - Illinois",,,,,,,,,,,,,,
"School of the Museum of Fine Arts at Tufts University - Massachusetts",,,,,,,,,,,,20,20,22
"Santa Fe University of Art and Design - New Mexico",,,,,,,,17,18,17,21,21,21,20
"Saint Josephs College - Indiana",,,,,21,19,18,19,19,18,18,18,19,18
"Roane State Community College - Tennessee",,,,,17,17,17,17,16,17,17,17,17,17
"Rizzieri Aveda School for Beauty and Wellness - New Jersey",,,,,,,,,,,,,,
"Purdue University-North Central Campus - Indiana",,,,,19,18,18,17,18,18,18,17,18,17
"Purdue University-Calumet Campus - Indiana",,,,,18,,,,,,,,,
"Prism Career Institute-Philadelphia - Pennsylvania",,,,,,,,,,,,,,
"Prism Career Institute-Cherry Hill - New Jersey",,,,,,,,,,,,,,
"Omaha School of Massage and Healthcare of Herzing University - Nebraska",,,,,,,,,,,,,,
"New Horizons Medical Institute - Georgia",,,,,,,,,,,,,,
"National University College-Rio Grande - Puerto Rico",,,,,,,,,,,,,,
"National University College-Ponce - Puerto Rico",,,,,,,,,,,,,,
"National University College-Caguas - Puerto Rico",,,,,,,,,,,,,,
"National University College-Arecibo - Puerto Rico",,,,,,,,,,,,,,
"St. Gregory's University - Oklahoma",,,,,,,,,18,,16,17,17,17
"Stevens-The Institute of Business & Arts - Missouri",,,,,,,,,,,,,,
"Syracuse City Schools Practical Nursing Program - New York",,,,,,,,,,,,,,
"Trine University-Arizona Regional Campus - Arizona",,,,,,,,,,,,,,
"Torah Temimah Talmudical Seminary - New York",,,,,,,,,,,,,,
"Coleman University - California",,,,,,,,,,,,,,
"College of Massage Therapy - Idaho",,,,,,,,,,,,,,
"Central Baptist Theological Seminary - Kansas",,,,,,,,,,,,,,
"Center for Advanced Legal Studies - Texas",,,,,,,,,,,,,,
"Carolina School of Broadcasting - North Carolina",,,,,,,,,,,,,,
"Brooks Institute - California",,,,,,,,,,,,,,
"Bristol University - California",,,,,,,,,,,,,,
"Medical Professional Institute - Massachusetts",,,,,,,,,,,,,,
"Atelier Esthetique Institute of Esthetics - New York",,,,,,,,,,,,,,
"AIB College of Business - Iowa",,,,,,,,,,,19,,,
"YTI Career Institute-York - Pennsylvania",,,,,,,,,,,,,,
"Yeshivas Maharit D'Satmar - New York",,,,,,,,,,,,,,
"Wood Tobe-Coburn School - New York",,,,,,,,,,,,,,
"Valley Forge Military College - Pennsylvania",,,,,18,16,14,15,,,,,,
"Unitek College - California",,,,,,,,,,,,,,
"Unitek College - California",,,,,,,,,,,,,,
"Trocaire College - New York",,,,,,,,,,,,,,
"ATA College - Oklahoma",,,,,,,,,,,,,,
"McNally Smith College of Music - Minnesota",,,,,,,,,,,,,,
"Marylhurst University - Oregon",,,,,,,,,,,,,,
"Instituto Tecnologico de Puerto Rico-Recinto de Guayama - Puerto Rico",,,,,,,,,,,,,,
"Yeshivas Novominsk - New York",,,,,,,,,,,,,,
"Yeshivas Be'er Yitzchok - New Jersey",,,,,,,,,,,,,,
"Yeshiva Zichron Aryeh - New York",,,,,,,,,,,,,,
"Yeshiva Yesodei Hatorah - New Jersey",,,,,,,,,,,,,,
"Yeshiva Toras Chaim - New Jersey",,,,,,,,,,,,,,
"Yeshiva Sholom Shachna - New York",,,,,,,,,,,,,,
"Yeshiva Shaarei Torah of Rockland - New York",,,,,,,,,,,,,,
"Yeshiva Shaar Hatorah - New York",,,,,,,,,,,,,,
"Yeshivat Mikdash Melech - New York",,,,,,,,,,,,,,
"Yeshiva Ohr Yisrael - New York",,,,,,,,,,,,,,
"Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary - California",,,,,,,,,,,,,,
"Yeshiva of the Telshe Alumni - New York",,,,,,,,,,,,,,
"Yeshiva of Machzikai Hadas - New York",,,,,,,,,,,,,,
"Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary - New York",,,,,,,,,,,,,,
"Yeshiva Kollel Tifereth Elizer - New York",,,,,,,,,,,,,,
"Yeshiva Karlin Stolin - New York",,,,,,,,,,,,,,
"Yeshiva Gedolah Zichron Leyma - New Jersey",,,,,,,,,,,,,,
"Yeshiva Gedolah Shaarei Shmuel - New Jersey",,,,,,,,,,,,,,
"Yeshiva Ohr Naftoli - New York",,,,,,,,,,,,,,
"Yeshiva Gedolah Kesser Torah - New York",,,,,,,,,,,,,,
"Yeshivath Beth Moshe - Pennsylvania",,,,,,,,,,,,,,
"Yeshivath Zichron Moshe - New York",,,,,,,,,,,,,,
"Huntingdon County Career and Technology Center - Pennsylvania",,,,,,,,,,,,,,
"Greene County Career and Technology Center - Pennsylvania",,,,,,,,,,,,,,
"Global Health College - Virginia",,,,,,,,,,,,,,
"Epic Bible College & Graduate School - California",,,,,,,,,,,,,,
"Delaware Chenango Madison Otsego BOCES-Practical Nursing Program - New York",,,,,,,,,,,,,,
"CUNY Medgar Evers College - New York",,,,,,,,,,,,,,
"Concordia College Alabama - Alabama",,,,,,,11,,,,,,,
"College of Staten Island CUNY - New York",,,,,,,,,,,,,,
"Yeshivath Viznitz - New York",,,,,,,,,,,,,,
"Central Coast College - California",,,,,,,,,,,,,,
"Carthage R9 School District-Carthage Technical Center - Missouri",,,,,,,,,,,,,,
"Cambridge Junior College-Woodland - California",,,,,,,,,,,,,,
"Brown & Clermont Adult Career Campuses - Ohio",,,,,,,,,,,,,,
"Be'er Yaakov Talmudic Seminary - New York",,,,,,,,,,,,,,
"Atlanta Institute of Music and Media - Georgia",,,,,,,,,,,,,,
"Aquinas College - Tennessee",,,,,21,21,20,23,20,19,17,18,18,18
"Alabama School of Nail Technology & Cosmetology - Alabama",,,,,,,,,,,,,,
"Zaytuna College - California",,,,,30,,,,,,,,,
"Center for Neurosomatic Studies - Florida",,,,,,,,,,,,,,
"Toledo Public Schools Adult and Continuing Education - Ohio",,,,,,,,,,,,,,
"NUC University - Puerto Rico",,,,,,,,,,,,,,
"Thomas More College of Liberal Arts - New Hampshire",,,,,,,,,,,,,,
"Professional Skills Institute - Ohio",,,,,,,,,,,,,,
"Post University - Connecticut",,,,,15,17,6,16,15,16,15,14,,
"Portland Actors Conservatory - Oregon",,,,,,,,,,,,,,
"Pontifical College Josephinum - Ohio",,,,,,,24,,,20,16,19,17,20
"Pontifical Catholic University of Puerto Rico-Ponce - Puerto Rico",,,,,,,,,,,,,,
"Pontifical Catholic University of Puerto Rico-Mayaguez - Puerto Rico",,,,,,,,,,,,,,
"Pontifical Catholic University of Puerto Rico-Arecibo - Puerto Rico",,,,,,,,,,,,,,
"Pomeroy College of Nursing at Crouse Hospital - New York",,,,,,,,,,,,,17,21
"Plymouth State University - New Hampshire",,,,,,,,18,17,18,18,14,18,17
"Plaza College - New York",,,,,,,,,,,,,,
"Platt College-Aurora - Colorado",,,,,,,,,,,,,,
"Pitzer College - California",,,,,,,,,,,,,,
"Pittsburgh Institute of Mortuary Science Inc - Pennsylvania",,,,,,,,,,,,,,
"Pine Manor College - Massachusetts",,,,,,,,,13,15,,15,14,14
"Phillips School of Nursing at Mount Sinai Beth Israel - New York",,,,,,,,,,,,,,
"Pennsylvania State University-Penn State Schuylkill - Pennsylvania",,,,16,15,16,17,18,17,14,15,15,17,17
"Pennsylvania College of Health Sciences - Pennsylvania",,,,,,,,,,,,,,
"Putnam Westchester BOCES-Practical Nursing Program - New York",,,,,,,,,,,,,,
"Rabbi Jacob Joseph School - New Jersey",,,,,,,,,,,,,,
"Rabbinical Academy Mesivta Rabbi Chaim Berlin - New York",,,,,,,,,,,,,,
"Rabbinical College Beth Shraga - New York",,,,,,,,,,,,,,
"Russell Sage College - New York",,,,,,,,,,,24,22,20,19
"Rollins College - Florida",,,,,,,,24,24,24,,23,23,23
"Rolla Technical Institute/Center - Missouri",,,,,,,,,,,,,,
"Roger Williams University - Rhode Island",,,,,,,,,,22,,21,,21
"Robert Morris University Illinois - Illinois",,,,,,,,,,,,,,
"Rivier University - New Hampshire",,,,,,,18,17,17,17,17,16,,18
"Riverside College of Health Careers - Virginia",,,,,,,,,,,,,,
"Rio Grande Bible Institute - Texas",,,,,,,,,,,,,,
"Pennsylvania College of Art and Design - Pennsylvania",,,,,,,,,,,,,,
"Ringling College of Art and Design - Florida",,,,,,,,,,,,,,
"Richard Bland College - Virginia",,,,,,,,11,,,,,,
"Regis College - Massachusetts",,,,,,,,19,19,15,17,16,16,5
"Reading Hospital School of Health Sciences - Pennsylvania",,,,,,,,19,21,20,,,,
"Radford University - Virginia",,,,,,,18,18,19,17,19,19,20,19
"Rabbinical Seminary of America - New York",,,,,,,,,,,,,,
"Rabbinical College Telshe - Ohio",,,,,,,,,,,,,,
"Rabbinical College of Long Island - New York",,,,,,,,,,,,,,
"Rabbinical College of America - New Jersey",,,,,,,,,,,,,,
"Ridley-Lowell Business & Technical Institute-New London - Connecticut",,,,,,,,,,,,,,
"Rust College - Mississippi",,,,,13,14,14,13,13,14,14,14,14,14
"Pennsylvania Academy of the Fine Arts - Pennsylvania",,,,,,,,,,,,,,
"Paul Smiths College of Arts and Science - New York",,,,,,,,20,18,18,17,,,
"Nichols College - Massachusetts",,,,,,,,19,18,,17,16,16,
"Newschool of Architecture and Design - California",,,,,,,,,,,,,,
"Newbury College - Massachusetts",,,,,,,,,,,,,,
"New York Conservatory for Dramatic Arts - New York",,,,,,,,,,,,,,
"New Jersey City University - New Jersey",,,,,,,,,15,19,,,,
"New Hope Christian College-Eugene - Oregon",,,,,,,,,,,,,,
"New Hampshire Institute of Art - New Hampshire",,,,,,,,,,,,,,
"New England School of Photography - Massachusetts",,,,,,,,,,,,,,
"New England College - New Hampshire",,,,,,,,,,,,,15,
"New Castle School of Trades - Pennsylvania",,,,,,,,,,,,,,
"Nevada State College - Nevada",,,,,,,,,,,16,,,
"Nevada Regional Technical Center - Missouri",,,,,,,,,,,,,,
"Neumont College of Computer Science - Utah",,,,,,,,21,,,,,,
"Ner Israel Rabbinical College - Maryland",,,,,,,,,,,,,,
"Neighborhood Playhouse School of the Theater - New York",,,,,,,,,,,,,,
"Covenant School of Nursing and Allied Health - Texas",,,,,,,,,,,,,,
"Nazareth College - New York",,,,,,,,,,,,,,22
"North-West College-West Covina - California",,,,,,,,,,,,,,
"Northern Arizona University - Arizona",,,,,,,,20,20,20,20,21,20,20
"Northern Tier Career Center - Pennsylvania",,,,,,,,,,,,,,
"Northern Vermont University - Vermont",,,,20,15,14,19,15,17,17,17,16,16,
"Paroba College of Cosmetology - Washington",,,,,,,,,,,,,,
"Park University - Missouri",,,,,,,,,17,19,20,19,18,19
"Pacific Rim Christian University - Hawaii",,,,,,,,,,,,,,
"Pacific Northwest College of Art - Oregon",,,,,,,,,,,,,,
"Orleans Technical College - Pennsylvania",,,,,,,,,,,,,,
"Orleans Niagara BOCES-Practical Nursing Program - New York",,,,,,,,,,,,,,
"Oregon College of Art and Craft - Oregon",,,,,,,,,,,,,,
"Orange Ulster BOCES-Practical Nursing Program - New York",,,,,,,,,,,,,,
"Penn Commercial Business/Technical School - Pennsylvania",,,,,,,,,,,,,,
"Ohr Hameir Theological Seminary - New York",,,,,,,,,,,,,,
"Ohio Media School-Valley View - Ohio",,,,,,,,,,,,,,
"Ohio Media School-Columbus - Ohio",,,,,,,,,,,,,,
"Ohio Media School-Cincinnati - Ohio",,,,,,,,,,,,,,
"O'More College of Design - Tennessee",,,,18,18,,20,20,18,19,20,19,21,22
"Nossi College of Art - Tennessee",,,,,,,,,,,,,,
"Norwich University - Vermont",,,,,,,20,21,21,20,20,19,19,18
"Northwestern College-Chicago Campus - Illinois",,,,,,,,,,,,,,
"Northwestern College - Illinois",,,,,,,,,,,,,,
"Ohio Wesleyan University - Ohio",,,,,,,,22,23,22,23,24,24,24
"SABER College - Florida",,,,,,,,,,,,,,
"Sacred Heart Major Seminary - Michigan",,,,,,,,,21,,,,,
"Sacred Heart University - Connecticut",,,,,,,,,,,,,,
"Talmudical Seminary of Bobov - New York",,,,,,,,,,,,,,
